drug_id,drug_N,file_name,imgfile,item_seq,json_file,back_color,camera_la,camera_lo,change_date,chart,color_class1,color_class2,di_class_no,di_company_mf,di_company_mf_en,di_edi_code,di_etc_otc_code,di_item_permit_date,dl_company,dl_company_en,dl_custom_shape,dl_idx,dl_mapping_code,dl_material,dl_material_en,dl_name,dl_name_en,drug_S,drug_dir,drug_shape,form_code_name,height,id,img_key,img_regist_ts,leng_long,leng_short,light_color,line_back,line_front,mark_code_back,mark_code_back_anal,mark_code_back_img,mark_code_front,mark_code_front_anal,mark_code_front_img,print_back,print_front,size,thick,width
K-036597,K-036597,K-036597_0_2_1_1_90_200_200.png,K-036597_0_2_1_1_90_200_200.png,201503559,TL_77_단일_unzipped/K-036597_json/K-036597_0_2_1_1_90_200_200.json,연회색 배경,90,200,20181109.0,회백색의 유상물질이 들어있는 암갈색의 장방형 연질캡슐제,갈색,,[03160]혼합비타민제(비타민AD 혼합제제를 제외),코스맥스파마(주),Cosmax Pharma,641705080,일반의약품,20150602,일양약품(주),Ilyang Pharmaceutical,연질캡슐제,36596,K-036597,토코페롤아세테이트|산화마그네슘|피리독신염산염|티아민질산염|γ-오리자놀,Magnesium Oxide| Pyridoxine Hydrochloride| Thiamine Nitrate| Tocopherol Acetate| γ-Oryzanol,토코토닉연질캡슐 500mg/PTP,Tocotonic Soft Cap.,정상알약,뒷면,타원형,"연질캡슐제, 현탁상",1280,1,http://connectdi.com/design/img/drug/154777200732000095.jpg,20151110.0,23.8,9.1,주광색,,,,,,,,,,토코토닉,200,9.1,976
K-036787,K-036787,K-036787_0_0_0_2_75_200_200.png,K-036787_0_0_0_2_75_200_200.png,201504178,TL_77_단일_unzipped/K-036787_json/K-036787_0_0_0_2_75_200_200.json,검은색 배경,75,200,20200811.0,흰색의 팔각형 정제,하양,,[02140]혈압강하제,동화약품(주),Dong Wha Pharm,694000870,전문의약품,20150629,대웅바이오(주),Daewoong Bio,"정제, 저작정",36786,K-036787,암로디핀베실산염,Amlodipine Besylate,대웅바이오암로디핀정 5mg,Daewoongbio Amlodipine Tab. 5mg,정상알약,앞면,팔각형,나정,1280,1,http://connectdi.com/design/img/drug/147427087959900154.jpg,20150827.0,8.6,6.2,주백색,-,,,,,,,,AB분할선5,DWB,200,2.5,976
K-036315,K-036315,K-036315_0_2_0_0_75_080_200.png,K-036315_0_2_0_0_75_080_200.png,201502915,TL_77_단일_unzipped/K-036315_json/K-036315_0_2_0_0_75_080_200.json,연회색 배경,75,80,20200522.0,회백색의 유상 내용물을 함유한 암갈색의 장방형 연질캡슐,갈색,,[03160]혼합비타민제(비타민AD 혼합제제를 제외),코스맥스파마(주),Cosmax Pharma,656003840,일반의약품,20150513,알리코제약(주),Arlico,연질캡슐제,36314,K-036315,산화마그네슘|토코페롤아세테이트|γ-오리자놀|피리독신염산염|티아민질산염,Magnesium Oxide| Pyridoxine Hydrochloride| Thiamine Nitrate| Tocopherol Acetate| γ-Oryzanol,마그웰연질캡슐 250mg/PTP,Magwell Soft Cap.,정상알약,앞면,타원형,"연질캡슐제, 현탁상",1280,1,http://connectdi.com/design/img/drug/147427070775200096.jpg,20160215.0,25.0,8.5,전구색,,,,,,,,,,마그웰,200,8.5,976
K-036940,K-036940,K-036940_0_0_0_0_90_160_200.png,K-036940_0_0_0_0_90_160_200.png,201504729,TL_77_단일_unzipped/K-036940_json/K-036940_0_0_0_0_90_160_200.json,검은색 배경,90,160,,연한 주황색 내지 황색의 원형 정제,분홍,,[02590]기타의 비뇨생식기관 및 항문용약,한국유니온제약(주),Union Korea Pharm,629700690,전문의약품,20150709,(주)오스코리아제약,Auskorea,"정제, 저작정",36939,K-036940,테라조신염산염수화물,Terazosin Hydrochloride Hydrate,오스코신정2밀리그램,Auscosin Tab. 2mg,정상알약,앞면,원형,나정,1280,1,http://connectdi.com/design/img/drug/147427100481600030.jpg,20150826.0,6.27,6.27,전구색,,,,,,,,,TH,ΛUK,200,2.09,976
K-036278,K-036278,K-036278_0_0_1_2_75_160_200.png,K-036278_0_0_1_2_75_160_200.png,201502784,TL_77_단일_unzipped/K-036278_json/K-036278_0_0_1_2_75_160_200.json,검은색 배경,75,160,,녹색의 타원형 필름코팅정,연두,,[02320]소화성궤양용제,(주)마더스제약,Mother'S Pharmaceutical,665506710,전문의약품,20150507,한국유니온제약(주),Union Korea Pharm,"정제, 저작정",36277,K-036278,애엽95%에탄올 연조엑스,,유니티렌정,Unitiren Tab.,정상알약,뒷면,타원형,필름코팅정,1280,1,http://connectdi.com/design/img/drug/1Mgr_7YvPJe.jpg,20190508.0,13.5,7.4,주백색,,,,,,,,,TN,UK,200,4.4,976
K-036664,K-036664,K-036664_0_2_1_1_70_040_200.png,K-036664_0_2_1_1_70_040_200.png,201503809,TL_77_단일_unzipped/K-036664_json/K-036664_0_2_1_1_70_040_200.json,연회색 배경,70,40,20160114.0,무색 내지 연한 청록색의 투명한 내용물을 함유하는 연청록색의 투명한 장방형 연질캡슐,"초록, 투명",,[01140]해열.진통.소염제,(주)서흥,Suheung,642203840,일반의약품,20150611,부광약품(주),Bukwang Pharm,연질캡슐제,36663,K-036664,덱시부프로펜,Dexibuprofen,덱시프렌드연질캡슐 300mg/PTP,Dexifriend Soft Cap.,정상알약,뒷면,타원형,"연질캡슐제, 액상",1280,1,http://connectdi.com/design/img/drug/147427082737900120.jpg,20150831.0,21.0,8.0,주광색,,,,,,,,,,덱시프렌드,200,8.0,976
K-036312,K-036312,K-036312_0_2_1_1_90_100_200.png,K-036312_0_2_1_1_90_100_200.png,201502890,TL_77_단일_unzipped/K-036312_json/K-036312_0_2_1_1_90_100_200.json,연회색 배경,90,100,20150609.0,흰색의 원형 당의정,하양,,[03920]해독제,,,661904540,일반의약품,20150513,영풍제약(주),Young Poong Pharmaceutical,"정제, 저작정",36311,K-036312,글루타티온,Glutathione(Reducted),구루치온정100mg,Gluthione Tab. 100mg,정상알약,뒷면,원형,당의정,1280,1,http://connectdi.com/design/img/drug/147427076761600175.jpg,20150709.0,10.8,10.8,주광색,,,,,,,,,,YPS,200,4.6,976
K-036720,K-036720,K-036720_0_2_1_0_75_020_200.png,K-036720_0_2_1_0_75_020_200.png,201504045,TL_77_단일_unzipped/K-036720_json/K-036720_0_2_1_0_75_020_200.json,연회색 배경,75,20,20190912.0,"상하층은 흰색, 중층은 연한 노란색의 장방형 삼층정","하양, 노랑",하양,[02320]소화성궤양용제,아주약품(주),Aju Pharm,644206410,전문의약품,20150619,한국애보트(유),Abbott Korea,"정제, 저작정",36719,K-036720,오메프라졸|탄산수소나트륨,Omeprazole| Sodium Bicarbonate,가나플럭스정 40/1100mg,Ganaflux Tab. 40/1100mg,정상알약,뒷면,장방형,다층정,1280,1,http://connectdi.com/design/img/drug/147427087959900033.jpg,20151002.0,17.0,8.0,전구색,,,,a,http://connectdi.com/design/img/drug/147938644048800164.jpg,,,,마크,GF40,200,6.5,976
K-036615,K-036615,K-036615_0_2_0_2_90_340_200.png,K-036615_0_2_0_2_90_340_200.png,201503600,TL_77_단일_unzipped/K-036615_json/K-036615_0_2_0_2_90_340_200.json,연회색 배경,90,340,20210503.0,회백색의 유상물질이 들어있는 적갈색의 장방형 연질캡슐,갈색,,[03160]혼합비타민제(비타민AD 혼합제제를 제외),동방에프티엘(주),Dongbang Future Tech & Life,696601150,일반의약품,20150604,일양바이오팜(주),Ilyang Bio Pharm,연질캡슐제,36614,K-036615,산화마그네슘|토코페롤아세테이트|γ-오리자놀|피리독신염산염|티아민질산염,Magnesium Oxide| Pyridoxine Hydrochloride| Thiamine Nitrate| Tocopherol Acetate| γ-Oryzanol,마그엔지연질캡슐 50mg/PTP,Mag & Gi Soft Cap.,정상알약,앞면,타원형,"연질캡슐제, 현탁상",1280,1,http://connectdi.com/design/img/drug/147427082737900078.jpg,20150916.0,26.0,8.5,주백색,,,,,,,,,,마그엔지,200,8.5,976
K-036243,K-036243,K-036243_0_0_1_0_70_000_200.png,K-036243_0_0_1_0_70_000_200.png,201502717,TL_77_단일_unzipped/K-036243_json/K-036243_0_0_1_0_70_000_200.json,검은색 배경,70,0,20190924.0,흰색 또는 미황색의 원형 구강붕해정,하양,,[02590]기타의 비뇨생식기관 및 항문용약,,,644913990,전문의약품,20150430,제이더블유중외제약(주),Jw Pharmaceutical,"확산정, 속붕정, 구강붕해정",36242,K-036243,실로도신,Silodosin,트루패스구강붕해정 8mg,Thrupass ODT 8mg,정상알약,뒷면,원형,구강붕해정,1280,1,http://connectdi.com/design/img/drug/147427059945900191.jpg,20150603.0,8.0,8.0,전구색,,,,jw,http://connectdi.com/design/img/drug/147938661567700091.jpg,,,,마크,TH08,200,3.8,976
